,Average time of peak density,Average peak density:,Average before peak density:,Average after peak density:, ,Average time of peak temp,Average peak temp:,Average before peak temp:,Average heating:,Average after peak temp:
0,26.44,6.23,0.41,1.7, ,43.26,30.61,11.99,18.62,17.16
1,0.09,0.14,0.04,0.12, ,0.64,2.04,0.93,2.04,0.67
