#time-us	inter1	inter2	sxr-Al	sxr-Zr	
-2.000024E+1	7.507200E-4	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.999024E+1	7.507200E-4	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.998024E+1	7.507200E-4	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.997024E+1	7.507200E-4	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.996024E+1	7.507200E-4	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.995024E+1	7.507200E-4	-2.024845E-2	-6.248320E-3	-9.998720E-3
-1.994024E+1	7.507200E-4	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.993024E+1	3.875712E-3	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.992024E+1	3.875712E-3	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.991024E+1	3.875712E-3	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.990024E+1	3.875712E-3	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.989024E+1	3.875712E-3	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.988024E+1	3.875712E-3	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.987024E+1	3.875712E-3	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.986024E+1	3.875712E-3	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.985024E+1	3.875712E-3	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.984024E+1	3.875712E-3	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.983024E+1	3.875712E-3	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.982024E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.981024E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.980024E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.979024E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.978024E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.977024E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
