#time-us	inter1	inter2	sxr-Al	sxr-Zr	
-2.000769E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.999769E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.998769E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.997769E+1	7.507200E-4	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.996769E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.995769E+1	7.507200E-4	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.994769E+1	7.507200E-4	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.993769E+1	7.507200E-4	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.992769E+1	7.507200E-4	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.991769E+1	7.507200E-4	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.990769E+1	7.507200E-4	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.989769E+1	7.507200E-4	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.988769E+1	7.507200E-4	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.987769E+1	7.507200E-4	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.986769E+1	7.507200E-4	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.985769E+1	7.507200E-4	-2.024845E-2	-6.248320E-3	-9.998720E-3
-1.984769E+1	7.507200E-4	-2.024845E-2	-6.248320E-3	-9.998720E-3
-1.983769E+1	7.507200E-4	-2.024845E-2	-6.248320E-3	-9.998720E-3
-1.982769E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.981769E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.980769E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.979769E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.978769E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.977769E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.976769E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.975769E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.974769E+1	3.875712E-3	-2.649843E-2	-1.249830E-2	-1.624870E-2
-1.973769E+1	3.875712E-3	-2.649843E-2	-1.249830E-2	-1.624870E-2
-1.972769E+1	3.875712E-3	-2.649843E-2	-1.249830E-2	-1.624870E-2
-1.971769E+1	3.875712E-3	-2.649843E-2	-1.249830E-2	-9.998720E-3
-1.970769E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.969769E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.968769E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.967769E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.966769E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.965769E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.964769E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.963769E+1	7.507200E-4	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.962769E+1	7.507200E-4	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.961769E+1	7.507200E-4	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.960769E+1	7.507200E-4	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.959769E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.958769E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
