#time-us	inter1	inter2	sxr-Al	sxr-Zr	
-2.000309E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.999309E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.998309E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.997309E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.996309E+1	7.507200E-4	-2.024845E-2	-1.249830E-2	-3.748736E-3
-1.995309E+1	7.507200E-4	-2.024845E-2	-1.249830E-2	-3.748736E-3
-1.994309E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.993309E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.992309E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.991309E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.990309E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.989309E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.988309E+1	7.507200E-4	-1.399846E-2	-6.248320E-3	-3.748736E-3
-1.987309E+1	7.507200E-4	-1.399846E-2	-6.248320E-3	-3.748736E-3
-1.986309E+1	7.507200E-4	-1.399846E-2	-6.248320E-3	-9.998720E-3
-1.985309E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.984309E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.983309E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.982309E+1	7.507200E-4	-2.024845E-2	-1.249830E-2	-3.748736E-3
-1.981309E+1	7.507200E-4	-2.024845E-2	-1.249830E-2	-3.748736E-3
-1.980309E+1	7.507200E-4	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.979309E+1	7.507200E-4	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.978309E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.977309E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.976309E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.975309E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.974309E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.973309E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.972309E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.971309E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.970309E+1	3.875712E-3	-1.399846E-2	-6.248320E-3	-3.748736E-3
-1.969309E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.968309E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.967309E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.966309E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.965309E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.964309E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.963309E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.962309E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.961309E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.960309E+1	7.507200E-4	-1.399846E-2	-1.249830E-2	-9.998720E-3
