#time-us	inter1	inter2	sxr-Al	sxr-Zr	
-2.000725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.999725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.998725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.997725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.996725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.995725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.994725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.993725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.992725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.991725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.990725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.989725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.988725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.987725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.986725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.985725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.984725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.983725E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.982725E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.981725E+1	3.875712E-3	-2.024845E-2	-1.874829E-2	-9.998720E-3
-1.980725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.979725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.978725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.977725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.976725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.975725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.974725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.973725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.972725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.971725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.970725E+1	3.875712E-3	-2.024845E-2	-1.874829E-2	-3.748736E-3
-1.969725E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.968725E+1	3.875712E-3	-2.024845E-2	-1.874829E-2	-9.998720E-3
-1.967725E+1	3.875712E-3	-2.024845E-2	-1.874829E-2	-9.998720E-3
-1.966725E+1	3.875712E-3	-2.024845E-2	-1.874829E-2	-9.998720E-3
-1.965725E+1	3.875712E-3	-2.024845E-2	-1.874829E-2	-9.998720E-3
-1.964725E+1	3.875712E-3	-2.024845E-2	-1.874829E-2	-9.998720E-3
-1.963725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.962725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.961725E+1	3.875712E-3	-2.024845E-2	-1.874829E-2	-3.748736E-3
-1.960725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-3.748736E-3
-1.959725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.958725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.957725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.956725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.955725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.954725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.953725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.952725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.951725E+1	3.875712E-3	-2.024845E-2	-1.874829E-2	-9.998720E-3
-1.950725E+1	3.875712E-3	-2.024845E-2	-1.874829E-2	-9.998720E-3
-1.949725E+1	3.875712E-3	-2.024845E-2	-1.874829E-2	-9.998720E-3
-1.948725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.947725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.946725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
-1.945725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-3.748736E-3
-1.944725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.943725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.942725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.941725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.940725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.939725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.938725E+1	3.875712E-3	-1.399846E-2	-1.874829E-2	-9.998720E-3
-1.937725E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-9.998720E-3
-1.936725E+1	3.875712E-3	-2.024845E-2	-1.249830E-2	-3.748736E-3
-1.935725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.934725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
-1.933725E+1	3.875712E-3	-1.399846E-2	-1.249830E-2	-9.998720E-3
